id	filename	md5	size	state
00fb6c2d-3abc-4d05-8506-e2d951543346	00fb6c2d-3abc-4d05-8506-e2d951543346/4f0c3ed0-647a-422e-b771-f201f5d5d29e.rna_seq.augmented_star_gene_counts.tsv	1b606ab1048f59a2c9a0631e61e0eb0b	4249612	validated
04e2cdb4-4e22-4d01-b451-18002e2df72c	04e2cdb4-4e22-4d01-b451-18002e2df72c/9f621704-2ece-4b25-be28-5fe14f71048d.rna_seq.augmented_star_gene_counts.tsv	ffb1b9751815860a927108c52b41590f	4248737	validated
06659cc6-27fe-44c1-806e-457868ea7c3c	06659cc6-27fe-44c1-806e-457868ea7c3c/8c7c9bb7-76e0-480c-a0de-bbf48fa398f4.rna_seq.augmented_star_gene_counts.tsv	2ef4f146fab120af860d668eb074c94f	4242304	validated
0675a938-3af9-4ac6-9fb6-9ff270dc6a65	0675a938-3af9-4ac6-9fb6-9ff270dc6a65/06d5607b-45d7-4247-8d42-709d9d292530.rna_seq.augmented_star_gene_counts.tsv	d5d94b5509d65f4b2d28096a5488398f	4223427	validated
06f35b28-be9e-4ee9-8eeb-3c107dec84d7	06f35b28-be9e-4ee9-8eeb-3c107dec84d7/e2ea7b80-6949-457a-9d29-2452cd3b6ad8.rna_seq.augmented_star_gene_counts.tsv	6786be8ccd0d624d2e852059125acd62	4234603	validated
09d5efc7-ba65-495d-a9fa-e38e49500be3	09d5efc7-ba65-495d-a9fa-e38e49500be3/b1802901-fe29-4665-b960-ca263cba9243.rna_seq.augmented_star_gene_counts.tsv	d08b8ab06433b9d493d3b10f77ab6520	4235088	validated
0aaec814-e30d-489b-928d-62776b8028cd	0aaec814-e30d-489b-928d-62776b8028cd/dd28c353-13f2-4e6a-a2d7-df94352e043f.rna_seq.augmented_star_gene_counts.tsv	a582626b3352fbbfcdbc2ed303461961	4242152	validated
0b6bb6c7-08dd-4b78-a064-419c16b881fc	0b6bb6c7-08dd-4b78-a064-419c16b881fc/63e18642-fcf3-460b-95de-de16428dea6d.rna_seq.augmented_star_gene_counts.tsv	051e131edd20fdbac48375a03f411327	4222334	validated
0e423b71-ba0b-4ae1-bf78-293a8f287570	0e423b71-ba0b-4ae1-bf78-293a8f287570/525b66e0-235a-4bf5-bc46-eb022d630115.rna_seq.augmented_star_gene_counts.tsv	8c653b67b9a2df198c28bd4ba03f1982	4241783	validated
0e875cce-117a-4637-b31d-a4eabfff8deb	0e875cce-117a-4637-b31d-a4eabfff8deb/97431f78-eea7-4799-8493-0ea4164a432b.rna_seq.augmented_star_gene_counts.tsv	d3f413f7bd992effdedcef60d478fc1f	4228469	validated
1117dfdc-a2e5-4d59-940a-2465da7fc914	1117dfdc-a2e5-4d59-940a-2465da7fc914/2835bce2-bf08-41a7-98b4-f488159b2685.rna_seq.augmented_star_gene_counts.tsv	d9155a8c214a239a51262edc099036c6	4226539	validated
131c2ec9-8fe3-4b83-b638-c8c9df564509	131c2ec9-8fe3-4b83-b638-c8c9df564509/689c3b5e-8bff-45d0-8165-b4b0e6dbf910.rna_seq.augmented_star_gene_counts.tsv	d96483113b876953625aef2d8e3dcad5	4236513	validated
156d125e-470e-45e5-9d45-73392a8ab1e3	156d125e-470e-45e5-9d45-73392a8ab1e3/6d7694d5-8582-466f-8072-df47dc10d780.rna_seq.augmented_star_gene_counts.tsv	d040100cc1a64f30d3b068a65e457b90	4245427	validated
16d1ff06-7ddc-4c3c-8c53-1ab720a6d686	16d1ff06-7ddc-4c3c-8c53-1ab720a6d686/ccdce530-38ba-46f2-867c-9359902d85b0.rna_seq.augmented_star_gene_counts.tsv	dd086ff66031ae317e8714bafb33cf11	4244930	validated
170aa982-33f1-41d0-b0f0-2585d6e8f906	170aa982-33f1-41d0-b0f0-2585d6e8f906/e0b0b87d-1125-4834-8133-5d719f1fd255.rna_seq.augmented_star_gene_counts.tsv	bcd4f88221a8df5f0f6d864e5197cdb1	4245588	validated
1812a244-f248-47cb-9519-5a8c4132a8cd	1812a244-f248-47cb-9519-5a8c4132a8cd/32a200c7-6f8a-4393-ae39-48c73b7935cf.rna_seq.augmented_star_gene_counts.tsv	3f710ce7037eb1dfe620141539d3e491	4230246	validated
1930202c-c766-4106-b6c8-36b82ca507db	1930202c-c766-4106-b6c8-36b82ca507db/6b907244-c173-4e29-a163-24258a430477.rna_seq.augmented_star_gene_counts.tsv	833939e9722107e343c65e47f9919ce7	4233810	validated
1ab14eb9-17c4-4922-bc38-e0f3126c0dad	1ab14eb9-17c4-4922-bc38-e0f3126c0dad/cafeba8a-de28-40f8-b19a-af0ee8705957.rna_seq.augmented_star_gene_counts.tsv	2b18b642666738e235b970ee7911da47	4247900	validated
